part_id,part_type,timestamp,crane_x,crane_y,note
1,1,2026-05-08T14:58:56.880678,55,82,Picked part 1 from X=55
1,1,2026-05-08T14:59:05.899032,450,82,Delivered part 1 to X=450
1,1,2026-05-08T14:59:14.551039,450,82,Picked part 1 from X=450
1,1,2026-05-08T14:59:23.562763,945,82,Delivered part 1 to X=945
2,1,2026-05-08T14:59:53.198195,55,82,Picked part 2 from X=55
2,1,2026-05-08T15:00:02.213174,450,82,Delivered part 2 to X=450
2,1,2026-05-08T15:00:11.286325,450,82,Picked part 2 from X=450
2,1,2026-05-08T15:00:20.306038,945,82,Delivered part 2 to X=945
3,2,2026-05-08T15:00:34.044413,158,82,Picked part 3 from X=158
3,2,2026-05-08T15:00:43.062039,650,82,Delivered part 3 to X=650
3,2,2026-05-08T15:00:56.374020,650,82,Picked part 3 from X=650
3,2,2026-05-08T15:01:05.396851,945,82,Delivered part 3 to X=945
1,2,2026-05-08T15:13:25.254274,158,82,Picked part 1 from X=158
1,2,2026-05-08T15:13:34.273340,650,82,Delivered part 1 to X=650
2,1,2026-05-08T15:13:47.862044,55,82,Picked part 2 from X=55
2,1,2026-05-08T15:13:56.887076,450,82,Delivered part 2 to X=450
1,2,2026-05-08T15:14:08.856564,650,82,Picked part 1 from X=650
1,2,2026-05-08T15:14:17.876632,945,82,Delivered part 1 to X=945
2,1,2026-05-08T15:14:29.298971,450,82,Picked part 2 from X=450
2,1,2026-05-08T15:14:38.316931,945,82,Delivered part 2 to X=945
3,1,2026-05-08T15:14:51.860422,55,82,Picked part 3 from X=55
3,1,2026-05-08T15:15:00.879987,450,82,Delivered part 3 to X=450
4,2,2026-05-08T15:15:11.421269,158,82,Picked part 4 from X=158
4,2,2026-05-08T15:15:20.436003,650,82,Delivered part 4 to X=650
3,1,2026-05-08T15:15:30.845723,450,82,Picked part 3 from X=450
3,1,2026-05-08T15:15:39.861923,945,82,Delivered part 3 to X=945
4,2,2026-05-08T15:15:53.409901,650,82,Picked part 4 from X=650
4,2,2026-05-08T15:16:02.430303,945,82,Delivered part 4 to X=945
1,2,2026-05-08T15:38:13.226028,158,82,Picked part 1 from X=158
1,2,2026-05-08T15:38:22.249087,650,82,Delivered part 1 to X=650
2,1,2026-05-08T15:38:37.591561,55,82,Picked part 2 from X=55
2,1,2026-05-08T15:38:46.604573,450,82,Delivered part 2 to X=450
1,2,2026-05-08T15:38:57.248805,650,82,Picked part 1 from X=650
1,2,2026-05-08T15:39:06.268337,945,82,Delivered part 1 to X=945
2,1,2026-05-08T15:39:19.430298,450,82,Picked part 2 from X=450
2,1,2026-05-08T15:39:28.450894,945,82,Delivered part 2 to X=945
1,1,2026-05-08T16:28:25.057569,55,82,Picked part 1 from X=55
1,1,2026-05-08T16:28:34.091224,450,82,Delivered part 1 to X=450
1,2,2026-05-08T16:29:39.111298,158,82,Picked part 1 from X=158
1,2,2026-05-08T16:29:48.124976,650,82,Delivered part 1 to X=650
2,1,2026-05-08T16:30:02.727284,55,82,Picked part 2 from X=55
2,1,2026-05-08T16:30:11.750122,450,82,Delivered part 2 to X=450
1,2,2026-05-08T16:30:22.487508,650,82,Picked part 1 from X=650
1,2,2026-05-08T16:30:31.510380,945,82,Delivered part 1 to X=945
2,1,2026-05-08T16:30:43.343012,450,82,Picked part 2 from X=450
2,1,2026-05-08T16:30:52.358343,945,82,Delivered part 2 to X=945
4,1,2026-05-08T16:31:06.147399,55,82,Picked part 4 from X=55
4,1,2026-05-08T16:31:15.170007,450,82,Delivered part 4 to X=450
1,1,2026-05-08T16:33:56.470337,55,82,Picked part 1 from X=55
1,1,2026-05-08T16:34:05.497793,450,82,Delivered part 1 to X=450
2,2,2026-05-08T16:34:15.867194,158,82,Picked part 2 from X=158
2,2,2026-05-08T16:34:24.888845,650,82,Delivered part 2 to X=650
1,1,2026-05-08T16:34:35.184076,450,82,Picked part 1 from X=450
1,1,2026-05-08T16:34:44.197504,945,82,Delivered part 1 to X=945
2,2,2026-05-08T16:34:57.744362,650,82,Picked part 2 from X=650
2,2,2026-05-08T16:35:06.771271,945,82,Delivered part 2 to X=945
3,2,2026-05-08T16:35:21.093166,158,82,Picked part 3 from X=158
3,2,2026-05-08T16:35:30.119198,650,82,Delivered part 3 to X=650
3,2,2026-05-08T16:35:56.020053,650,82,Picked part 3 from X=650
3,2,2026-05-08T16:36:05.037816,945,82,Delivered part 3 to X=945
1,1,2026-05-08T16:52:06.584348,55,82,Picked part 1 from X=55
1,1,2026-05-08T16:52:15.616522,450,82,Delivered part 1 to X=450
3,1,2026-05-08T16:52:25.312132,55,82,Picked part 3 from X=55
3,1,2026-05-08T16:52:34.326117,450,82,Delivered part 3 to X=450
2,2,2026-05-08T16:52:44.050100,158,82,Picked part 2 from X=158
1,1,2026-05-08T16:53:50.839300,55,82,Picked part 1 from X=55
1,1,2026-05-08T16:53:59.849999,450,82,Delivered part 1 to X=450
3,1,2026-05-08T16:54:09.657066,55,82,Picked part 3 from X=55
3,1,2026-05-08T16:54:18.673015,450,82,Delivered part 3 to X=450
