part_id,part_type,timestamp,crane_x,crane_y,note
1,1,2026-05-08T14:15:17.543729,55,82,Picked part 1 from X=55
1,1,2026-05-08T14:15:26.548750,450,82,Delivered part 1 to X=450
1,1,2026-05-08T14:15:37.411442,450,200,Process 1 run complete
1,1,2026-05-08T14:15:43.114581,450,82,Picked part 1 from X=450
1,1,2026-05-08T14:15:52.117115,945,82,Delivered part 1 to X=945
1,2,2026-05-08T14:17:01.275069,158,82,Picked part 1 from X=158
1,2,2026-05-08T14:17:10.278523,650,82,Delivered part 1 to X=650
1,2,2026-05-08T14:17:24.218028,450,200,Process 2 run completed.
1,2,2026-05-08T14:17:32.612984,650,82,Picked part 1 from X=650
1,2,2026-05-08T14:17:41.617722,945,82,Delivered part 1 to X=945
2,1,2026-05-08T14:18:01.282154,55,82,Picked part 2 from X=55
2,1,2026-05-08T14:18:10.286127,450,82,Delivered part 2 to X=450
2,1,2026-05-08T14:18:21.560386,450,200,Process 1 run completed
2,1,2026-05-08T14:18:28.182261,450,82,Picked part 2 from X=450
2,1,2026-05-08T14:18:37.186642,945,82,Delivered part 2 to X=945
3,2,2026-05-08T14:18:55.964529,158,82,Picked part ID 3 from X=158
3,2,2026-05-08T14:19:04.968808,650,82,Delivered part ID 3 to X=650
3,2,2026-05-08T14:19:20.848549,450,200,Ran process2
3,2,2026-05-08T14:19:29.554371,650,82,Picked part 3 from X=650
3,2,2026-05-08T14:19:38.558819,945,82,Delivered part 3 to X=945
4,1,2026-05-08T14:19:58.333269,55,82,Picked part 4 from X=55
4,1,2026-05-08T14:20:07.335880,450,82,Delivered part 4 to X=450
4,1,2026-05-08T14:20:19.632266,450,200,Process 1 run complete
4,1,2026-05-08T14:20:25.840941,450,82,Picked part 4 from X=450
4,1,2026-05-08T14:20:34.845702,945,82,Delivered part 4 to X=945
1,1,2026-05-08T17:38:01.450539,55,82,Picked part 1 from X=55
1,1,2026-05-08T17:38:10.463970,450,82,Delivered part 1 to X=450
1,1,2026-05-08T17:38:22.032550,450,200,Process 1 run completed
1,1,2026-05-08T17:38:28.269742,450,82,Picked part 1 from X=450
1,1,2026-05-08T17:38:37.273173,945,82,Delivered part 1 to X=945
2,2,2026-05-08T17:38:55.821678,158,82,Picked part 2 from X=158
2,2,2026-05-08T17:39:04.826771,650,82,Delivered part 2 to X=650
2,2,2026-05-08T17:39:24.190638,450,200,Process 2 run completed
2,2,2026-05-08T17:39:39.448790,650,82,Picked part 2 from X=650
2,2,2026-05-08T17:39:48.453259,945,82,Delivered part 2 to X=945
1,1,2026-05-08T17:40:24.709862,55,82,Picked part ID 1 from X=55
1,1,2026-05-08T17:40:33.714390,450,82,Delivered part ID 1 to X=450
1,1,2026-05-08T17:40:43.959934,450,200,process1 complete
1,1,2026-05-08T17:40:48.435182,450,82,Picked part 1 from X=450
1,1,2026-05-08T17:40:57.439395,945,82,Delivered part 1 to X=945
2,2,2026-05-08T17:41:15.090816,158,82,Picked part 2 from X=158
2,2,2026-05-08T17:41:24.095179,650,82,Delivered part 2 to X=650
2,2,2026-05-08T17:41:37.728353,450,200,Process 2 completed
2,2,2026-05-08T17:41:45.603415,650,82,Picked part 2 from X=650
2,2,2026-05-08T17:41:54.608684,945,82,Delivered part 2 to X=945
3,1,2026-05-08T17:42:12.023443,55,82,Picked part ID 3 from X=55
3,1,2026-05-08T17:42:21.027141,450,82,Delivered part ID 3 to X=450
3,1,2026-05-08T17:42:32.200152,450,200,Process 1 completed for part 3 type 1
3,1,2026-05-08T17:42:38.001813,450,82,Picked part ID 3 from X=450
